Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Bermuda Stock Exchange,0.6,1.1,1.3,1.1,3.0,1.2,1.1,1.9,0.7,0.6,1.2,0.9
BM&FBOVESPA S.A.,59.5,65.4,60.1,58.1,62.6,59.0,59.2,91.7,69.5,70.8,59.2,65.5
Bolsa de Comercio de Buenos Aires,5.2,4.6,3.6,3.8,3.1,4.9,5.4,4.8,4.1,8.3,3.9,3.1
Bolsa de Comercio de Santiago,25.0,15.6,19.1,12.8,20.1,23.3,14.9,17.2,15.1,13.5,16.9,21.3
Bolsa de Valores de Colombia,9.9,11.5,13.3,9.5,14.3,13.2,12.9,16.2,14.2,15.6,15.0,13.3
Bolsa de Valores de Lima,4.8,5.0,7.2,11.6,9.2,7.1,3.6,3.1,5.1,2.5,5.8,4.7
Bolsa Mexicana de Valores,24.7,26.0,24.9,23.0,28.8,27.9,25.1,33.5,24.7,24.9,25.4,18.4
TMX Group,75.1,71.2,82.0,63.0,65.3,68.1,54.2,85.8,86.1,69.1,68.4,66.4
Australian Securities Exchange,61.9,74.6,93.9,70.7,83.6,84.5,78.9,118.8,102.5,82.7,83.1,68.6
BSE India Limited,12.7,13.0,12.6,12.0,10.5,10.6,10.8,10.4,10.6,8.2,9.2,8.6
Bursa Malaysia,49.0,34.2,36.8,32.6,28.6,30.0,31.4,42.9,30.0,26.8,27.3,24.2
Colombo Stock Exchange,37.9,27.9,26.1,15.0,23.7,31.2,17.0,28.8,28.6,13.3,11.2,9.7
Hong Kong Exchanges and Clearing,56.8,49.8,69.9,54.7,49.5,55.3,48.2,74.1,66.1,58.8,53.9,37.8
Indonesia Stock Exchange,41.5,24.1,32.2,25.8,29.5,22.5,28.4,36.7,31.9,28.4,22.0,19.0
Japan Exchange Group - Osaka,78.8,83.4,96.7,68.0,68.0,83.2,80.5,89.9,68.4,64.6,65.1,64.5
Japan Exchange Group - Tokyo,105.9,113.7,173.7,109.8,100.1,106.3,95.4,136.0,106.7,95.2,92.5,85.5
Korea Exchange,195.6,139.6,181.0,211.4,156.3,151.6,167.7,240.9,187.0,195.0,186.2,174.8
National Stock Exchange of India Limited,49.6,51.4,45.2,40.3,42.4,40.3,42.4,47.1,47.9,37.6,44.3,42.9
Philippine Stock Exchange,17.7,14.5,17.2,15.0,18.3,16.1,18.4,20.4,17.0,13.5,17.0,20.9
Shanghai Stock Exchange,134.8,138.0,233.1,172.2,136.2,122.4,155.3,135.1,92.7,81.1,124.5,82.7
Shenzhen Stock Exchange,211.8,214.2,359.2,262.4,206.1,184.6,266.4,250.5,162.4,145.7,256.8,174.5
Singapore Exchange,52.7,46.9,52.5,45.6,42.3,39.9,40.9,64.4,49.3,43.7,41.8,24.8
Taiwan Stock Exchange,126.7,97.1,133.4,103.8,105.5,102.9,122.0,162.9,126.8,101.1,115.3,85.3
The Stock Exchange of Thailand,102.6,75.7,90.7,78.5,75.3,68.3,80.1,105.2,90.6,74.8,68.8,57.7
Abu Dhabi Securities Exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
Amman Stock Exchange,21.9,11.9,16.5,13.2,18.2,15.1,13.7,10.7,12.6,10.9,8.9,11.1
Athens Stock Exchange (ATHEX),46.1,52.6,52.7,33.6,42.6,41.2,41.6,44.1,41.9,37.2,44.8,23.5
BME Spanish Exchanges,124.5,82.6,100.9,105.8,98.7,86.2,123.2,102.1,85.1,110.1,100.0,80.7
Borsa Istanbul,200.2,185.0,212.8,171.4,167.1,129.2,110.5,164.0,155.9,144.4,117.7,115.8
Bourse de Casablanca,8.6,5.8,5.7,5.3,3.5,5.9,1.5,6.1,6.5,5.0,5.7,19.1
Budapest Stock Exchange,66.3,64.0,57.7,69.8,57.0,52.8,61.2,104.1,98.8,68.7,80.0,65.0
Cyprus Stock Exchange,8.7,12.9,10.1,4.8,5.6,4.8,7.5,15.1,8.9,8.7,11.7,8.8
Deutsche Boerse AG,109.5,99.9,134.5,93.3,124.5,100.3,104.1,193.5,151.5,114.4,116.9,92.9
Euronext,71.6,68.5,85.3,57.8,69.7,65.2,69.4,103.3,87.7,70.3,70.4,52.2
Irish Stock Exchange,14.5,14.0,14.0,9.7,13.0,11.7,12.7,11.5,9.9,5.2,9.1,8.9
Johannesburg Stock Exchange,40.3,45.6,50.1,32.6,39.6,45.8,39.2,55.3,55.2,43.3,40.9,31.8
Kazakhstan Stock Exchange,2.3,1.0,0.9,4.4,1.8,1.6,0.4,0.7,5.1,0.8,0.4,6.4
Ljubljana Stock Exchange,6.0,9.1,9.6,4.1,6.3,7.3,4.9,8.0,10.1,4.1,5.6,5.1
LSE Group,70.4,65.8,82.3,52.9,71.9,69.4,63.7,87.4,73.7,62.2,63.5,44.7
Luxembourg Stock Exchange,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.4
Malta Stock Exchange,2.1,2.5,1.2,1.0,1.1,0.9,0.7,1.3,0.8,1.5,1.9,0.5
MICEX ,37.3,48.8,55.0,49.5,44.0,42.2,40.8,75.2,73.2,73.2,66.5,57.3
Muscat Securities Market,24.9,23.4,22.6,14.9,12.8,8.9,6.1,11.2,8.2,9.5,6.3,15.8
Nasdaq Nordic Exchanges,72.0,84.0,83.1,60.6,75.9,72.5,68.8,127.3,90.4,80.9,78.7,60.5
Oslo Bors,82.0,79.9,79.8,53.4,68.3,58.7,56.2,100.1,87.2,77.0,76.9,53.2
RTS Exchange,7.6,9.7,8.7,8.5,9.2,8.6,8.5,12.3,12.4,10.8,11.2,9.4
Saudi Stock Exchange (Tadawul),78.8,67.7,98.5,99.6,111.5,76.7,62.7,52.6,73.0,114.0,84.2,111.7
SIX Swiss Exchange,71.2,71.7,89.9,62.9,68.7,62.9,65.5,110.6,86.9,60.4,61.6,51.2
Stock Exchange of Mauritius,5.8,3.3,3.6,3.0,5.6,3.6,3.5,5.7,2.9,13.6,22.3,3.9
Tehran Stock Exchange,16.0,12.6,15.6,23.6,17.0,21.6,12.3,12.0,12.5,8.2,8.0,8.0
Tel-Aviv Stock Exchange,57.7,50.8,49.4,31.2,40.1,40.9,35.2,44.4,37.6,37.1,38.0,37.0
The Egyptian Exchange,54.1,NA,21.0,27.8,35.6,44.1,26.1,22.0,22.5,19.6,15.6,16.3
Warsaw Stock Exchange,43.8,42.2,48.8,37.4,45.5,45.9,40.0,61.9,55.3,47.8,49.2,37.5
Wiener Borse,35.6,33.2,49.4,26.3,29.0,34.7,33.0,52.9,44.5,34.3,35.5,28.1